Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A1,1,35,-Infinity,Infinity
root,0,35,35,Infinity
B1,1,31,35,Infinity
root,0,35,35,Infinity
E1,1,45,35,Infinity
root,0,45,45,Infinity
A2,1,35,45,Infinity
root,0,45,45,Infinity
B2,1,27,45,Infinity
root,0,45,45,Infinity
A3,1,43,45,Infinity
root,0,45,45,Infinity
B3,1,63,45,Infinity
root,0,63,63,Infinity
C3,1,46,63,Infinity
root,0,63,63,Infinity
E3,1,18,63,Infinity
root,0,63,63,Infinity
A4,1,35,63,Infinity
root,0,63,63,Infinity
B4,1,27,63,Infinity
root,0,63,63,Infinity
E4,1,17,63,Infinity
root,0,63,63,Infinity
A5,1,40,63,Infinity
root,0,63,63,Infinity
B5,1,45,63,Infinity
root,0,63,63,Infinity
C5,1,38,63,Infinity
root,0,63,63,Infinity
D5,1,36,63,Infinity
root,0,63,63,Infinity
E5,1,25,63,Infinity
root,0,63,63,Infinity
